sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
273,2026-07-30T11:43:21Z,1785411801348575896,283,11860,11956,17,189,53048,324173244,200,196,196,448255600,354276
274,2026-07-30T11:43:22Z,1785411802382852947,284,11860,11956,17,189,53252,324174013,200,196,196,448255600,354289
275,2026-07-30T11:43:23Z,1785411803419405086,285,11780,11956,17,169,53458,324174782,200,196,196,448255600,354297
276,2026-07-30T11:43:24Z,1785411804453596536,286,11780,11956,17,169,53663,324175562,200,196,196,448255600,354303
277,2026-07-30T11:43:25Z,1785411805487463406,287,11780,11956,17,169,53867,324176337,200,196,196,448255600,354317
278,2026-07-30T11:43:26Z,1785411806522514184,288,11780,11956,17,169,54072,324177110,200,196,196,448255600,354324
279,2026-07-30T11:43:27Z,1785411807556759619,289,11788,11956,17,169,54276,324177881,200,196,196,448255600,354335
280,2026-07-30T11:43:28Z,1785411808591772950,290,11780,11956,17,169,54480,324178657,200,196,196,448255600,354344
281,2026-07-30T11:43:29Z,1785411809626687572,291,11776,11956,17,168,54684,324179424,200,196,196,448255600,354352
282,2026-07-30T11:43:30Z,1785411810661927718,292,11776,11956,17,168,54888,324180195,200,196,196,448255600,354366
283,2026-07-30T11:43:31Z,1785411811697359681,293,11776,11956,17,168,55094,324180971,200,196,196,448255600,354374
284,2026-07-30T11:43:32Z,1785411812731506684,294,11804,11956,17,168,55299,324181749,200,196,196,448255600,354385
285,2026-07-30T11:43:33Z,1785411813767971809,295,11788,11956,17,168,55500,324182532,200,196,196,448255600,354394
286,2026-07-30T11:43:34Z,1785411814802197918,296,11852,11956,17,168,55694,324183305,200,196,196,448255600,354403
287,2026-07-30T11:43:35Z,1785411815835975565,297,11788,11956,17,168,55893,324184075,200,196,196,448255600,354410
288,2026-07-30T11:43:36Z,1785411816872201328,298,11832,11956,17,168,56096,324184848,200,196,196,448255600,354424
289,2026-07-30T11:43:37Z,1785411817906131572,299,11788,11956,17,168,56298,324185632,200,196,196,448255600,354436
290,2026-07-30T11:43:38Z,1785411818939766628,300,11828,11956,17,168,56501,324186399,200,196,196,448255600,354448
291,2026-07-30T11:43:39Z,1785411819972985105,301,11952,12016,17,197,56695,324187171,200,196,196,448255600,354451
292,2026-07-30T11:43:41Z,1785411821007266213,303,11952,11996,17,197,56894,324187945,200,196,196,448255600,354451
293,2026-07-30T11:43:42Z,1785411822041520767,304,11952,12016,17,197,57087,324188720,200,196,196,448255600,354451
294,2026-07-30T11:43:43Z,1785411823076689905,305,11952,11956,17,197,57275,324189491,200,196,196,448255600,354451
295,2026-07-30T11:43:44Z,1785411824110228395,306,11952,11956,17,197,57468,324190265,200,196,196,448255600,354451
296,2026-07-30T11:43:45Z,1785411825144220503,307,11952,11972,17,197,57660,324191036,200,196,196,448255600,354451
