sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
409,2026-08-04T05:03:31Z,1785819811352322184,411,4656,4656,4,18,2843,4701320,200,0,380,0,0,461,1061
410,2026-08-04T05:03:32Z,1785819812356567844,412,4656,4656,4,18,2851,4702115,200,0,380,0,0,461,1061
411,2026-08-04T05:03:33Z,1785819813359884126,413,4656,4656,4,18,2858,4702906,200,0,380,0,0,461,1061
412,2026-08-04T05:03:34Z,1785819814364182318,414,4656,4656,4,18,2866,4703702,200,0,380,0,0,461,1061
413,2026-08-04T05:03:35Z,1785819815367555778,415,4656,4656,4,18,2873,4704494,200,0,380,0,0,461,1062
414,2026-08-04T05:03:36Z,1785819816372135767,416,4656,4656,4,18,2881,4705288,200,0,380,0,0,461,1063
415,2026-08-04T05:03:37Z,1785819817375689211,417,4656,4656,4,18,2888,4706085,200,0,380,0,0,461,1064
416,2026-08-04T05:03:38Z,1785819818379162247,418,4656,4656,4,18,2896,4706880,200,0,380,0,0,461,1065
417,2026-08-04T05:03:39Z,1785819819382359820,419,4656,4656,4,18,2903,4707672,200,0,380,0,0,461,1066
418,2026-08-04T05:03:40Z,1785819820386492775,420,4656,4656,4,18,2911,4708468,200,0,380,0,0,461,1066
419,2026-08-04T05:03:41Z,1785819821390497162,421,4656,4656,4,18,2919,4709260,200,0,380,0,0,461,1067
420,2026-08-04T05:03:42Z,1785819822394880727,422,4656,4656,4,18,2926,4710057,200,0,380,0,0,461,1067
421,2026-08-04T05:03:43Z,1785819823399207528,423,4656,4656,4,18,2933,4710854,200,0,380,0,0,461,1068
422,2026-08-04T05:03:44Z,1785819824402371177,424,4652,4652,4,17,2941,4711646,200,0,380,0,0,461,1068
423,2026-08-04T05:03:45Z,1785819825406961098,425,4652,4652,4,17,2950,4712440,200,0,380,0,0,461,1069
424,2026-08-04T05:03:46Z,1785819826410848876,426,4652,4652,4,17,2957,4713233,200,0,380,0,0,461,1069
425,2026-08-04T05:03:47Z,1785819827414053467,427,4652,4652,4,17,2965,4714028,200,0,380,0,0,461,1069
426,2026-08-04T05:03:48Z,1785819828418125261,428,4652,4652,4,17,2972,4714822,200,0,380,0,0,461,1070
427,2026-08-04T05:03:49Z,1785819829422263949,429,4652,4652,4,17,2980,4715617,200,0,380,0,0,461,1071
428,2026-08-04T05:03:50Z,1785819830426254003,430,4652,4652,4,17,2988,4716410,200,0,380,0,0,461,1071
429,2026-08-04T05:03:51Z,1785819831430344756,431,4652,4652,4,17,2995,4717206,200,0,380,0,0,461,1072
430,2026-08-04T05:03:52Z,1785819832434410834,432,4652,4652,4,17,3002,4717999,200,0,380,0,0,461,1073
431,2026-08-04T05:03:53Z,1785819833438953385,433,4652,4652,4,17,3010,4718791,200,0,380,0,0,461,1074
432,2026-08-04T05:03:54Z,1785819834442032297,434,4652,4652,4,17,3017,4719583,200,0,380,0,0,461,1074
433,2026-08-04T05:03:55Z,1785819835445999517,435,4652,4652,4,17,3025,4720379,200,0,380,0,0,461,1074
434,2026-08-04T05:03:56Z,1785819836449740489,436,4652,4652,4,17,3032,4721174,200,0,380,0,0,461,1075
435,2026-08-04T05:03:57Z,1785819837454001737,437,4652,4652,4,17,3040,4721967,200,0,380,0,0,461,1076
436,2026-08-04T05:03:58Z,1785819838458335159,438,4652,4652,4,17,3047,4722759,200,0,380,0,0,461,1077
