sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
722,2026-07-30T12:07:15Z,1785413235844539875,745,6800,6864,5,175,127703,325259524,200,196,196,448255602,361381
723,2026-07-30T12:07:16Z,1785413236877362102,746,6864,6808,5,175,127882,325260315,200,196,196,448255602,361390
724,2026-07-30T12:07:17Z,1785413237909119637,747,6800,6808,5,175,128059,325261102,200,196,196,448255602,361402
725,2026-07-30T12:07:18Z,1785413238940693442,748,6800,6856,5,175,128239,325261892,200,196,196,448255602,361409
726,2026-07-30T12:07:19Z,1785413239972416593,749,6828,6844,5,175,128427,325262670,200,196,196,448255602,361409
727,2026-07-30T12:07:21Z,1785413241003977949,751,6800,6808,5,175,128614,325263448,200,196,196,448255602,361409
728,2026-07-30T12:07:22Z,1785413242035486825,752,6800,6808,5,175,128794,325264235,200,196,196,448255602,361410
729,2026-07-30T12:07:23Z,1785413243067968493,753,6800,6808,5,175,128979,325265015,200,196,196,448255602,361411
730,2026-07-30T12:07:24Z,1785413244099882396,754,6800,6808,5,175,129166,325265796,200,196,196,448255602,361411
731,2026-07-30T12:07:25Z,1785413245132208277,755,6800,6808,5,175,129352,325266576,200,196,196,448255602,361413
732,2026-07-30T12:07:26Z,1785413246166327228,756,6800,6808,5,175,129537,325267363,200,196,196,448255602,361416
733,2026-07-30T12:07:27Z,1785413247198824555,757,6800,6808,5,175,129719,325268145,200,196,196,448255602,361417
734,2026-07-30T12:07:28Z,1785413248230334604,758,6844,6824,5,175,129904,325268927,200,196,196,448255602,361417
735,2026-07-30T12:07:29Z,1785413249262951087,759,6800,6808,5,175,130092,325269708,200,196,196,448255602,361417
736,2026-07-30T12:07:30Z,1785413250294532326,760,6800,6808,5,175,130273,325270490,200,196,196,448255602,361420
737,2026-07-30T12:07:31Z,1785413251327024332,761,6808,6808,5,175,130455,325271272,200,196,196,448255602,361425
738,2026-07-30T12:07:32Z,1785413252358784065,762,6808,6808,5,175,130634,325272067,200,196,196,448255602,361433
739,2026-07-30T12:07:33Z,1785413253389434162,763,6808,6808,5,175,130813,325272852,200,196,196,448255602,361446
740,2026-07-30T12:07:34Z,1785413254423584370,764,6828,6808,5,175,130990,325273639,200,196,196,448255602,361458
741,2026-07-30T12:07:35Z,1785413255455174606,765,6808,6808,5,175,131167,325274431,200,196,196,448255602,361474
742,2026-07-30T12:07:36Z,1785413256486538771,766,6812,6808,5,175,131345,325275220,200,196,196,448255602,361486
743,2026-07-30T12:07:37Z,1785413257517682534,767,6792,6808,5,171,131522,325276011,200,196,196,448255602,361498
744,2026-07-30T12:07:38Z,1785413258549720986,768,6792,6808,5,171,131701,325276798,200,196,196,448255602,361505
745,2026-07-30T12:07:39Z,1785413259583154697,769,6792,6808,5,171,131878,325277583,200,196,196,448255602,361516
746,2026-07-30T12:07:40Z,1785413260615266112,770,6792,6808,5,171,132054,325278369,200,196,196,448255602,361524
747,2026-07-30T12:07:41Z,1785413261647650959,771,6856,6816,5,171,132234,325279160,200,196,196,448255602,361538
748,2026-07-30T12:07:42Z,1785413262679538760,772,6792,6808,5,171,132412,325279943,200,196,196,448255602,361546
749,2026-07-30T12:07:43Z,1785413263711568860,773,6792,6808,5,171,132591,325280731,200,196,196,448255602,361560
750,2026-07-30T12:07:44Z,1785413264743842704,774,6804,6840,5,171,132769,325281517,200,196,196,448255602,361568
751,2026-07-30T12:07:45Z,1785413265776021059,775,6792,6808,5,171,132948,325282305,200,196,196,448255602,361573
752,2026-07-30T12:07:46Z,1785413266810338227,776,6888,6808,5,171,133128,325283098,200,196,196,448255602,361584
753,2026-07-30T12:07:47Z,1785413267843715572,777,6792,6808,5,171,133303,325283885,200,196,196,448255602,361601
754,2026-07-30T12:07:48Z,1785413268876465264,778,6792,6808,5,171,133482,325284676,200,196,196,448255602,361606
755,2026-07-30T12:07:49Z,1785413269907886659,779,6800,6808,5,171,133659,325285462,200,196,196,448255602,361619
756,2026-07-30T12:07:50Z,1785413270939509564,780,6792,6808,5,171,133837,325286252,200,196,196,448255602,361631
757,2026-07-30T12:07:51Z,1785413271970582177,781,6792,6808,5,171,134015,325287035,200,196,196,448255602,361643
758,2026-07-30T12:07:53Z,1785413273002438411,783,6792,6824,5,171,134192,325287823,200,196,196,448255602,361652
759,2026-07-30T12:07:54Z,1785413274033559729,784,6796,6808,5,172,134371,325288617,200,196,196,448255602,361658
760,2026-07-30T12:07:55Z,1785413275065835948,785,6796,6808,5,172,134546,325289405,200,196,196,448255602,361664
761,2026-07-30T12:07:56Z,1785413276096170149,786,6796,6808,5,172,134721,325290196,200,196,196,448255602,361673
762,2026-07-30T12:07:57Z,1785413277127557028,787,6796,6808,5,172,134896,325290984,200,196,196,448255602,361679
763,2026-07-30T12:07:58Z,1785413278160689034,788,6796,6808,5,172,135077,325291773,200,196,196,448255602,361680
764,2026-07-30T12:07:59Z,1785413279193992571,789,6796,6808,5,172,135256,325292559,200,196,196,448255602,361687
765,2026-07-30T12:08:00Z,1785413280224758680,790,6796,6808,5,172,135432,325293356,200,196,196,448255602,361698
766,2026-07-30T12:08:01Z,1785413281257249219,791,6772,6808,5,169,135609,325294155,200,196,196,448255602,361703
767,2026-07-30T12:08:02Z,1785413282289388425,792,6772,6808,5,169,135786,325294946,200,196,196,448255602,361712
768,2026-07-30T12:08:03Z,1785413283321209307,793,6772,6836,5,169,135965,325295743,200,196,196,448255602,361715
769,2026-07-30T12:08:04Z,1785413284352320300,794,6772,6808,5,169,136143,325296531,200,196,196,448255602,361718
770,2026-07-30T12:08:05Z,1785413285383285973,795,6772,6836,5,169,136321,325297318,200,196,196,448255602,361728
771,2026-07-30T12:08:06Z,1785413286414912983,796,6772,6808,5,169,136499,325298111,200,196,196,448255602,361735
772,2026-07-30T12:08:07Z,1785413287447453335,797,6772,6808,5,169,136677,325298899,200,196,196,448255602,361744
773,2026-07-30T12:08:08Z,1785413288479594220,798,6800,6808,5,169,136855,325299686,200,196,196,448255602,361750
774,2026-07-30T12:08:09Z,1785413289511039061,799,6836,6808,5,169,137029,325300474,200,196,196,448255602,361761
775,2026-07-30T12:08:10Z,1785413290542279946,800,6828,6808,5,169,137207,325301265,200,196,196,448255602,361768
776,2026-07-30T12:08:11Z,1785413291574184661,801,6836,6808,5,169,137384,325302050,200,196,196,448255602,361771
777,2026-07-30T12:08:12Z,1785413292607353109,802,6772,6808,5,169,137563,325302841,200,196,196,448255602,361778
778,2026-07-30T12:08:13Z,1785413293640263456,803,6772,6808,5,169,137748,325303619,200,196,196,448255602,361778
779,2026-07-30T12:08:14Z,1785413294671771821,804,6772,6808,5,169,137931,325304402,200,196,196,448255602,361778
780,2026-07-30T12:08:15Z,1785413295704696511,805,6772,6808,5,169,138112,325305189,200,196,196,448255602,361785
781,2026-07-30T12:08:16Z,1785413296737241571,806,6772,6808,5,169,138294,325305979,200,196,196,448255602,361790
782,2026-07-30T12:08:17Z,1785413297769489196,807,6772,6808,5,169,138471,325306764,200,196,196,448255602,361804
783,2026-07-30T12:08:18Z,1785413298799891042,808,6772,6808,5,169,138648,325307550,200,196,196,448255602,361816
784,2026-07-30T12:08:19Z,1785413299832123221,809,6772,6808,5,169,138825,325308338,200,196,196,448255602,361827
785,2026-07-30T12:08:20Z,1785413300865538685,810,6772,6808,5,169,138999,325309132,200,196,196,448255602,361837
786,2026-07-30T12:08:21Z,1785413301897867278,811,6784,6808,5,169,139176,325309921,200,196,196,448255602,361847
787,2026-07-30T12:08:22Z,1785413302930887259,812,6772,6808,5,169,139354,325310706,200,196,196,448255602,361862
788,2026-07-30T12:08:23Z,1785413303962459892,813,6540,6808,5,111,139531,325311500,200,196,196,448255602,361869
789,2026-07-30T12:08:24Z,1785413304994209998,814,6540,6808,5,111,139705,325312300,200,196,196,448255602,361880
790,2026-07-30T12:08:26Z,1785413306026099566,816,6540,6808,5,111,139881,325313090,200,196,196,448255602,361891
791,2026-07-30T12:08:27Z,1785413307056235428,817,6568,6808,5,113,140055,325313881,200,196,196,448255602,361906
792,2026-07-30T12:08:28Z,1785413308089514508,818,6600,6808,5,113,140233,325314664,200,196,196,448255602,361909
793,2026-07-30T12:08:29Z,1785413309120798375,819,6568,6808,5,113,140411,325315453,200,196,196,448255602,361926
794,2026-07-30T12:08:30Z,1785413310154962943,820,6596,6808,5,113,140587,325316243,200,196,196,448255602,361940
795,2026-07-30T12:08:31Z,1785413311188110834,821,6568,6808,5,113,140763,325317040,200,196,196,448255602,361948
796,2026-07-30T12:08:32Z,1785413312218794582,822,6568,6808,5,113,140940,325317829,200,196,196,448255602,361965
797,2026-07-30T12:08:33Z,1785413313251454752,823,6576,6808,5,113,141116,325318619,200,196,196,448255602,361969
798,2026-07-30T12:08:34Z,1785413314285734229,824,6568,6808,5,113,141292,325319405,200,196,196,448255602,361979
799,2026-07-30T12:08:35Z,1785413315317990998,825,6568,6808,5,113,141470,325320194,200,196,196,448255602,361989
800,2026-07-30T12:08:36Z,1785413316349766620,826,6568,6808,5,113,141645,325320979,200,196,196,448255602,362004
801,2026-07-30T12:08:37Z,1785413317380191341,827,6568,6808,5,113,141818,325321766,200,196,196,448255602,362023
802,2026-07-30T12:08:38Z,1785413318411716424,828,6568,6808,5,113,141989,325322541,200,196,196,448255602,362037
803,2026-07-30T12:08:39Z,1785413319442725629,829,6568,6808,5,113,142163,325323327,200,196,196,448255602,362048
804,2026-07-30T12:08:40Z,1785413320473418341,830,6772,6808,5,164,142347,325324109,200,196,196,448255602,362053
805,2026-07-30T12:08:41Z,1785413321504724649,831,6772,6808,5,164,142526,325324898,200,196,196,448255602,362062
806,2026-07-30T12:08:42Z,1785413322536302529,832,6772,6808,5,164,142704,325325689,200,196,196,448255602,362065
807,2026-07-30T12:08:43Z,1785413323568663777,833,6772,6808,5,164,142883,325326485,200,196,196,448255602,362073
808,2026-07-30T12:08:44Z,1785413324601727951,834,6800,6836,5,164,143069,325327279,200,196,196,448255602,362073
809,2026-07-30T12:08:45Z,1785413325636099031,835,6836,6808,5,164,143249,325328064,200,196,196,448255602,362079
810,2026-07-30T12:08:46Z,1785413326668593483,836,6772,6808,5,164,143432,325328845,200,196,196,448255602,362086
811,2026-07-30T12:08:47Z,1785413327701416939,837,6772,6808,5,164,143613,325329628,200,196,196,448255602,362091
812,2026-07-30T12:08:48Z,1785413328733591962,838,6772,6808,5,164,143793,325330413,200,196,196,448255602,362095
813,2026-07-30T12:08:49Z,1785413329765277209,839,6820,6820,5,166,143972,325331205,200,196,196,448255602,362101
814,2026-07-30T12:08:50Z,1785413330800978600,840,6884,6820,5,166,144152,325331995,200,196,196,448255602,362112
815,2026-07-30T12:08:51Z,1785413331831126912,841,6820,6820,5,166,144333,325332775,200,196,196,448255602,362124
816,2026-07-30T12:08:52Z,1785413332862159650,842,6820,6832,5,166,144508,325333566,200,196,196,448255602,362137
817,2026-07-30T12:08:53Z,1785413333894363723,843,6820,6820,5,166,144682,325334365,200,196,196,448255602,362144
818,2026-07-30T12:08:54Z,1785413334923756047,844,6820,6820,5,166,144853,325335163,200,196,196,448255602,362153
819,2026-07-30T12:08:55Z,1785413335954764272,845,6820,6872,5,166,145026,325335956,200,196,196,448255602,362167
820,2026-07-30T12:08:56Z,1785413336985893359,846,6820,6844,5,166,145199,325336757,200,196,196,448255602,362178
821,2026-07-30T12:08:58Z,1785413338017828685,848,6820,6820,5,166,145373,325337549,200,196,196,448255602,362187
822,2026-07-30T12:08:59Z,1785413339049583453,849,6820,6820,5,166,145547,325338334,200,196,196,448255602,362197
823,2026-07-30T12:09:00Z,1785413340080123947,850,6832,6820,5,166,145723,325339122,200,196,196,448255602,362203
824,2026-07-30T12:09:01Z,1785413341111509615,851,6820,6820,5,166,145901,325339908,200,196,196,448255602,362204
825,2026-07-30T12:09:02Z,1785413342142743719,852,6820,6824,5,166,146074,325340704,200,196,196,448255602,362208
826,2026-07-30T12:09:03Z,1785413343174565332,853,6844,6844,5,172,146251,325341491,200,196,196,448255602,362217
827,2026-07-30T12:09:04Z,1785413344207416746,854,6844,6844,5,172,146425,325342280,200,196,196,448255602,362225
828,2026-07-30T12:09:05Z,1785413345238767282,855,6844,6844,5,172,146601,325343077,200,196,196,448255602,362243
829,2026-07-30T12:09:06Z,1785413346271054416,856,6844,6844,5,172,146774,325343875,200,196,196,448255602,362255
